	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	USER.TIME(%)	SYS.TIME(%)	TCA.MODULO	TOTAL.PG	TCA.FILE.ACCESS	TCR.CREATE	TCR.DROP
	0	15:27:18 07 NOV 2014	21003	45	46	27	0	1	1	0	0	1	15:27:18 07 NOV 2014	25003	49	50	26	0	1	1	0	0	2	15:27:18 07 NOV 2014	27003	47	48	26	0	1	1	0	0	3	15:27:18 07 NOV 2014	26003	12	13	3	0	1	1	0	0	4	15:27:18 07 NOV 2014	31003	53	54	26	0	1	1	0	0	5	15:27:21 07 NOV 2014	500	500	501	500	0	1	1	0	0	5	4	38	64	0	5	0
	0	15:27:26 07 NOV 2014	21003	204	203	111	0	1	1	0	0	1	15:27:26 07 NOV 2014	25003	219	220	159	0	1	1	0	0	2	15:27:26 07 NOV 2014	27003	182	183	99	0	1	1	0	0	3	15:27:26 07 NOV 2014	26003	76	77	3	0	1	1	0	0	4	15:27:26 07 NOV 2014	31003	379	380	363	0	1	1	0	0	5	15:27:28 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	7	38	64	0	32	0
	0	15:27:33 07 NOV 2014	21003	301	302	111	0	1	1	0	0	1	15:27:33 07 NOV 2014	25003	316	317	159	0	1	1	0	0	2	15:27:33 07 NOV 2014	27003	284	285	99	0	1	1	0	0	3	15:27:33 07 NOV 2014	26003	166	167	3	0	1	1	0	0	4	15:27:33 07 NOV 2014	31003	505	506	423	0	1	1	0	0	5	15:27:35 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	3	38	64	0	36	0
	0	15:27:40 07 NOV 2014	21003	402	403	111	0	1	1	0	0	1	15:27:40 07 NOV 2014	25003	412	413	159	0	1	1	0	0	2	15:27:40 07 NOV 2014	27003	388	389	99	0	1	1	0	0	3	15:27:40 07 NOV 2014	26003	251	252	3	0	1	1	0	0	4	15:27:40 07 NOV 2014	31003	598	599	423	0	1	1	0	0	5	15:27:43 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	1	38	64	0	36	0
	0	15:27:48 07 NOV 2014	21003	503	504	111	0	1	1	0	0	1	15:27:48 07 NOV 2014	25003	503	504	159	0	1	1	0	0	2	15:27:48 07 NOV 2014	27003	486	487	99	0	1	1	0	0	3	15:27:48 07 NOV 2014	26003	329	330	3	0	1	1	0	0	4	15:27:48 07 NOV 2014	31003	691	692	423	0	1	1	0	0	5	15:27:50 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	1	38	64	0	36	0
	0	15:27:55 07 NOV 2014	21003	599	600	111	0	1	1	0	0	1	15:27:55 07 NOV 2014	25003	599	598	159	0	1	1	0	0	2	15:27:55 07 NOV 2014	27003	580	579	99	0	1	1	0	0	3	15:27:55 07 NOV 2014	26003	407	408	3	0	1	1	0	0	4	15:27:55 07 NOV 2014	31003	784	785	423	0	1	1	0	0	5	15:27:57 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	4	38	64	0	36	0
	0	15:28:02 07 NOV 2014	21003	696	695	111	0	1	1	0	0	1	15:28:02 07 NOV 2014	25003	695	696	159	0	1	1	0	0	2	15:28:02 07 NOV 2014	27003	682	683	99	0	1	1	0	0	3	15:28:02 07 NOV 2014	26003	508	509	3	0	1	1	0	0	4	15:28:03 07 NOV 2014	31003	890	889	423	0	1	1	0	0	5	15:28:05 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	3	38	64	0	36	0
	0	15:28:10 07 NOV 2014	21003	799	800	111	0	1	1	0	0	1	15:28:10 07 NOV 2014	25003	802	803	159	0	1	1	0	0	2	15:28:10 07 NOV 2014	27003	783	784	99	0	1	1	0	0	3	15:28:10 07 NOV 2014	26003	596	597	3	0	1	1	0	0	4	15:28:10 07 NOV 2014	31003	992	993	423	0	1	1	0	0	5	15:28:12 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	4	38	64	0	36	0
	0	15:28:17 07 NOV 2014	21003	906	907	111	0	1	1	0	0	1	15:28:17 07 NOV 2014	25003	899	900	159	0	1	1	0	0	2	15:28:17 07 NOV 2014	27003	893	894	99	0	1	1	0	0	3	15:28:17 07 NOV 2014	26003	685	686	3	0	1	1	0	0	4	15:28:17 07 NOV 2014	31003	1093	1094	423	0	1	1	0	0	5	15:28:19 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	7	38	64	0	36	0
	0	15:28:24 07 NOV 2014	21003	1009	1010	111	0	1	1	0	0	1	15:28:24 07 NOV 2014	25003	994	995	159	0	1	1	0	0	2	15:28:24 07 NOV 2014	27003	1000	1001	99	0	1	1	0	0	3	15:28:25 07 NOV 2014	26003	775	776	3	0	1	1	0	0	4	15:28:25 07 NOV 2014	31003	1192	1193	423	0	1	1	0	0	5	15:28:27 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	2	38	64	0	36	0
